Customer_ID,Customer_Name,Gender,Age,City,Account_No,Account_Type,Account_Balance,Transaction_ID,Transaction_Date,Transaction_Type,Transaction_Amount,Receiver_Account,Loan_ID,Loan_Amount,Amount_Paid,Credit_Score
C019,Crystal Robinson,M,48,Delhi,47516308,Current,126064,T0019,2025-08-05,Withdrawal,5906,,L0019,275370.0,17884.0,634
C020,Sean Walls,F,51,Bengaluru,35017776,Current,83523,T0020,2025-05-21,Withdrawal,104155,,,985943.0,93875.0,615
C021,Christopher Gomez,F,65,Delhi,28575946,Current,37410,T0021,2024-02-25,Deposit,150767,,L0021,,,612
C022,Elizabeth Walker,M,60,Delhi,68764604,Current,490678,T0022,2025-04-24,Deposit,101801,,L0022,,,723
C023,Kathryn Greer,M,22,Bengaluru,81072530,Current,12083,T0023,2024-06-24,Withdrawal,23140,,L0023,698786.0,141754.0,611
C024,John White,F,29,Mumbai,50997435,Savings,323247,T0024,2025-03-18,Transfer,162715,,L0024,693262.0,174763.0,679
C025,Christine Jones,M,45,Delhi,18842524,Savings,171383,T0025,2024-07-28,Withdrawal,87856,28018487.0,L0025,,,756
C026,Christina Parker,F,32,Hyderabad,71418390,Current,193820,T0026,2024-04-22,Transfer,64275,,,423367.0,266559.0,850
C027,Maria Jenkins,F,58,Kolkata,83494547,Savings,342644,T0027,2025-03-31,Withdrawal,81186,65908383.0,,,,756
C028,Mr. James Ellis,M,39,Bengaluru,82987750,Current,170245,T0028,2024-01-10,Deposit,131723,48687851.0,L0028,,,626
C029,Faith Perkins,F,60,Kolkata,11551956,Current,4010,T0029,2024-03-24,Deposit,8327,,L0029,,,696
C030,Rhonda Jones,F,22,Hyderabad,97093895,Current,53264,T0030,2025-04-12,Withdrawal,22119,,,264894.0,42507.0,797
C031,Christopher Oliver,F,42,Mumbai,61053396,Savings,259090,T0031,2025-05-18,Deposit,48392,86198281.0,,,,796
C032,Timothy Lam,M,54,Kolkata,83214047,Current,490534,T0032,2024-12-13,Transfer,123910,,,,,812
C033,Andrew Sullivan,M,36,Bengaluru,15140362,Current,413827,T0033,2025-10-09,Deposit,150897,,,188924.0,69534.0,672
C034,Matthew Wright,M,34,Mumbai,65503725,Savings,485506,T0034,2024-01-14,Withdrawal,193712,,,,,840
C035,Mark Nelson,F,57,Kolkata,33063128,Savings,348930,T0035,2025-08-29,Deposit,20577,71730764.0,L0035,,,768
C036,Melinda Kim,M,21,Pune,80635992,Savings,274801,T0036,2025-10-01,Withdrawal,6659,,L0036,915633.0,48035.0,743
C037,Christopher Fleming,F,49,Pune,57674809,Current,467838,T0037,2025-04-08,Withdrawal,77358,,L0037,,,832
C038,James Craig,F,49,Hyderabad,66458950,Savings,180408,T0038,2025-06-29,Withdrawal,6766,,L0038,,,732
C039,Mrs. Karen Smith,M,62,Delhi,95764209,Current,399942,T0039,2025-09-26,Deposit,118695,,,,,725
C040,Christina Roberts,M,35,Bengaluru,56909351,Current,414876,T0040,2025-06-19,Withdrawal,190282,84724438.0,L0040,313980.0,213337.0,675
C041,Latoya Ross,M,65,Kolkata,32999565,Savings,369763,T0041,2024-06-01,Withdrawal,140995,59638624.0,L0041,631712.0,53279.0,680
C042,Sarah Johnson,F,56,Hyderabad,36391618,Savings,207524,T0042,2024-08-24,Deposit,44825,,,329193.0,3223.0,739
C043,William Ferrell,M,39,Pune,15954604,Savings,270405,T0043,2025-10-27,Deposit,152170,63375476.0,L0043,543903.0,385181.0,783
C044,Joseph Hanson,F,55,Bengaluru,23482736,Current,456013,T0044,2024-11-20,Withdrawal,102177,31758492.0,,617894.0,447206.0,775
C045,Tyler Gonzales,F,64,Bengaluru,69620212,Current,344778,T0045,2024-07-12,Withdrawal,185328,,L0045,,,733
C046,Philip Brown,F,46,Bengaluru,68895959,Current,125337,T0046,2025-09-22,Transfer,97876,97016672.0,,,,751
C047,Jennifer Mcdonald,F,36,Bengaluru,80209731,Savings,159968,T0047,2024-12-02,Withdrawal,102901,82300604.0,L0047,,,693
C048,Dr. Craig Garcia,F,21,Chennai,64874838,Savings,438603,T0048,2024-03-30,Transfer,142166,82418970.0,,,,805
C049,Edwin Duncan,F,23,Bengaluru,46537310,Savings,421058,T0049,2025-02-12,Deposit,196212,91348861.0,,633480.0,160397.0,794
C050,Tammy Henry,M,35,Chennai,74240363,Savings,308981,T0050,2024-07-30,Withdrawal,129783,11579764.0,L0050,,,660
C051,Robin Bell,F,56,Mumbai,50712200,Current,121485,T0051,2024-05-22,Withdrawal,66845,95360506.0,,252984.0,129679.0,738
C052,Tamara Charles,M,49,Ahmedabad,31409017,Savings,431985,T0052,2024-04-27,Transfer,31128,,L0052,,,836
C053,William Anderson,M,23,Hyderabad,80920851,Current,486205,T0053,2025-07-12,Transfer,196594,,,804026.0,802218.0,720
C054,Alex Contreras,M,47,Hyderabad,69726037,Savings,393646,T0054,2025-01-31,Transfer,178421,29416241.0,L0054,264887.0,176617.0,698
C055,Mr. Craig Osborne,M,37,Chennai,43522881,Current,98538,T0055,2024-09-14,Withdrawal,183824,88068890.0,L0055,,,804
C056,Gabriel Bauer,F,38,Hyderabad,89147162,Current,70705,T0056,2025-07-29,Deposit,126305,20045570.0,L0056,,,723
C057,Manuel Diaz,M,45,Mumbai,43286707,Savings,175992,T0057,2024-05-08,Transfer,76815,88266507.0,,,,702
C058,Pamela Perez,F,28,Hyderabad,59796429,Savings,248428,T0058,2024-07-20,Deposit,180418,56096757.0,L0058,,,727
C059,Emily Patel,F,60,Mumbai,89987267,Current,356945,T0059,2025-04-11,Deposit,6853,,L0059,,,847
C060,Eileen Ortega,M,25,Pune,13566801,Savings,470524,T0060,2025-01-26,Withdrawal,2114,83466027.0,L0060,,,772
C061,Karen Matthews,M,49,Hyderabad,29797039,Savings,27211,T0061,2025-03-19,Transfer,43526,,,,,760
C062,Christian Shea,M,27,Hyderabad,13018538,Savings,111622,T0062,2025-07-31,Withdrawal,3409,,L0062,272926.0,132272.0,633
C063,Ronald Rose,F,30,Pune,68420444,Current,134295,T0063,2025-10-18,Withdrawal,93029,,,906971.0,859179.0,850
C064,Courtney Alvarez,F,40,Delhi,61121021,Current,255420,T0064,2024-10-19,Deposit,126160,,L0064,434876.0,183237.0,724
C065,Teresa Young,F,65,Mumbai,36550478,Current,223648,T0065,2024-09-20,Deposit,31030,,,,,803
C066,Anne Parker,M,24,Kolkata,96002066,Savings,247515,T0066,2025-01-18,Transfer,133489,59112300.0,,,,625
C067,Megan Carroll,F,52,Kolkata,50941334,Savings,274326,T0067,2025-06-29,Withdrawal,25258,,L0067,,,614
C068,Robin Sanders,M,37,Pune,17967440,Current,52180,T0068,2025-04-27,Withdrawal,103498,,L0068,148937.0,32401.0,619
C069,Christian Johnson,F,48,Pune,99503691,Savings,3926,T0069,2025-03-30,Transfer,9478,,L0069,520694.0,170188.0,682
C070,Dustin Williamson,M,45,Mumbai,22670787,Current,399701,T0070,2024-10-12,Withdrawal,102701,,L0070,103317.0,99543.0,656
C071,Bradley Brown,M,56,Delhi,87934279,Savings,434159,T0071,2025-04-01,Withdrawal,46105,,L0071,702958.0,618870.0,777
C072,Karen Shea,F,38,Bengaluru,28250765,Savings,18904,T0072,2025-02-18,Deposit,172047,28443020.0,L0072,,,773
C073,Gary Wilson,F,36,Delhi,76071418,Savings,150742,T0073,2024-09-05,Deposit,190900,,L0073,645194.0,102392.0,609
C074,Traci Gibson,M,34,Chennai,12246032,Current,281645,T0074,2024-03-15,Withdrawal,106580,53782358.0,L0074,693957.0,354182.0,790
C075,Derek Medina,F,63,Kolkata,56962131,Current,289890,T0075,2025-04-29,Withdrawal,46722,,,382283.0,49523.0,748
C076,Matthew Watts,F,23,Hyderabad,46546301,Current,229839,T0076,2024-05-01,Withdrawal,79109,53162877.0,,,,644
C077,William Davis,F,43,Hyderabad,72813582,Savings,185374,T0077,2024-07-05,Transfer,4070,22870415.0,L0077,,,846
C078,James Smith,F,60,Ahmedabad,58302106,Current,352101,T0078,2025-04-10,Transfer,175430,,,,,822
C079,Janice Williams,M,37,Pune,14714939,Current,414867,T0079,2025-08-13,Withdrawal,188601,36710007.0,L0079,110959.0,55783.0,691
C080,Rebecca Zavala,F,60,Mumbai,91705274,Savings,129989,T0080,2025-02-15,Deposit,181374,,,,,806
C081,Jade Donaldson,M,22,Ahmedabad,63101346,Savings,230803,T0081,2024-04-22,Deposit,33526,39624309.0,L0081,,,698
C082,Amanda Alexander,F,31,Delhi,21372453,Current,442230,T0082,2024-02-14,Withdrawal,14219,,,,,626
C083,Cynthia Davis,M,47,Delhi,83825058,Savings,48678,T0083,2024-01-19,Withdrawal,42308,64264648.0,,,,654
C084,Deanna Griffin,M,49,Ahmedabad,68472247,Current,386174,T0084,2025-04-13,Withdrawal,52241,33411066.0,L0084,789918.0,327672.0,790
C085,Cindy James,F,51,Mumbai,30742564,Savings,368272,T0085,2024-02-08,Withdrawal,78733,11799340.0,L0085,,,723
C086,Lucas Smith,F,33,Chennai,25303173,Current,219825,T0086,2025-05-03,Transfer,57838,,,793056.0,317462.0,713
C087,Christopher Pena,M,50,Hyderabad,54324217,Current,136622,T0087,2024-05-13,Deposit,190120,73749973.0,,404442.0,7981.0,781
C088,Ivan Hays,F,59,Kolkata,71201699,Current,203737,T0088,2025-01-05,Transfer,198391,,L0088,,,705
C089,Heather Ward,M,26,Hyderabad,99941783,Savings,293309,T0089,2024-01-12,Deposit,118137,,L0089,,,707
C090,Rebecca Hansen,M,28,Mumbai,72004200,Savings,45772,T0090,2025-09-13,Deposit,117354,85283136.0,L0090,,,848
C091,Roger Harmon,M,34,Kolkata,82147011,Current,212891,T0091,2025-09-09,Withdrawal,155618,,,,,835
C092,Tammy Butler,M,65,Pune,60119375,Savings,239177,T0092,2025-03-07,Deposit,162453,33622772.0,,,,658
C093,Michelle Lewis,F,65,Ahmedabad,80328684,Current,144564,T0093,2024-09-16,Withdrawal,195083,86014075.0,,,,680
C094,Mr. Steven Farrell,M,35,Mumbai,98075762,Current,102779,T0094,2024-08-27,Transfer,32714,,,627289.0,266723.0,754
C095,Kathryn Davis,F,53,Kolkata,65519723,Current,358689,T0095,2025-09-08,Deposit,20050,82494238.0,,,,636
C096,Donald King,M,48,Ahmedabad,74230069,Current,376076,T0096,2024-12-11,Transfer,111549,66535638.0,,,,801
C097,Robert Campbell,M,60,Bengaluru,72887018,Current,342405,T0097,2024-01-14,Transfer,77859,10327279.0,L0097,,,663
C098,Sarah Mullins,M,64,Mumbai,26522458,Savings,252186,T0098,2025-08-29,Withdrawal,55732,,,,,805
C099,Barbara Porter,F,54,Ahmedabad,53428852,Current,113306,T0099,2024-08-04,Withdrawal,47493,21394204.0,,360732.0,132711.0,641
C100,Angie Mccormick,F,47,Ahmedabad,17414469,Savings,260882,T0100,2025-07-18,Transfer,108457,,L0100,349577.0,169182.0,827
C101,Lisa Johnson,F,48,Hyderabad,93338638,Current,129364,T0101,2024-02-02,Withdrawal,130055,,L0101,,,810
C102,Austin Cook,F,34,Pune,39556069,Current,63677,T0102,2025-08-18,Transfer,156288,97880483.0,L0102,,,722
C103,Stacy Dixon,M,26,Mumbai,66733342,Current,483741,T0103,2025-03-02,Deposit,94913,,L0103,254098.0,70075.0,717
C104,Jason Griffin,M,35,Hyderabad,46843516,Current,360545,T0104,2024-11-29,Deposit,36272,,,,,650
C105,Linda Nguyen,M,27,Hyderabad,24919086,Current,343048,T0105,2024-08-31,Deposit,118390,,,638599.0,266857.0,738
C106,Brittany Perry,M,34,Hyderabad,61941723,Savings,119626,T0106,2025-07-12,Withdrawal,55416,17091997.0,,,,695
C107,James Taylor,F,35,Delhi,18874767,Current,257637,T0107,2024-12-28,Withdrawal,58160,99823068.0,,176629.0,12810.0,600
C108,Matthew Wiggins,F,63,Delhi,35013751,Current,120376,T0108,2025-04-19,Withdrawal,75236,,,858644.0,796147.0,702
C109,Brandon Myers,M,48,Bengaluru,87229753,Savings,248288,T0109,2025-01-21,Deposit,35756,84443482.0,,,,768
C110,Susan Stout,M,26,Pune,78926714,Current,387410,T0110,2024-12-15,Transfer,22110,,,,,694
C111,Jessica Duran,F,21,Pune,38800475,Savings,450865,T0111,2024-02-07,Transfer,124987,,,,,699
C112,Allen Hardy,M,62,Mumbai,28817428,Current,320940,T0112,2025-06-07,Withdrawal,122598,67327743.0,L0112,615384.0,383962.0,700
C113,Randy Horne,F,39,Hyderabad,21007035,Savings,353412,T0113,2025-01-18,Withdrawal,111602,,L0113,,,706
C114,Isabella Phillips,M,37,Pune,56814010,Savings,89153,T0114,2024-10-11,Deposit,25358,67921340.0,,,,641
C115,Michael Park,F,36,Pune,63382809,Current,479786,T0115,2025-03-05,Transfer,97532,66846604.0,L0115,817495.0,442060.0,760
C116,Anthony Griffith,M,23,Hyderabad,14562805,Current,10300,T0116,2025-07-08,Deposit,130022,,L0116,,,790
C117,Kevin Baker,M,46,Ahmedabad,26053896,Savings,29163,T0117,2025-10-11,Deposit,73123,,,992348.0,380390.0,713
C118,Walter Hodges,F,65,Ahmedabad,33200233,Savings,113540,T0118,2024-12-14,Transfer,153667,99528662.0,L0118,,,802
C119,Jennifer Bartlett,F,21,Kolkata,66441179,Savings,253870,T0119,2025-10-31,Transfer,64660,,L0119,,,659
C120,Edward Phillips,F,38,Hyderabad,61502168,Current,396042,T0120,2024-10-13,Withdrawal,41370,84220336.0,,,,833
C121,Angel Jones,M,32,Delhi,23566250,Current,225277,T0121,2024-06-10,Deposit,8035,,,,,824
C122,Christopher Steele,M,59,Pune,41524487,Current,384718,T0122,2024-10-07,Withdrawal,174579,,,,,690
C123,Rebecca Baldwin,M,30,Hyderabad,84675294,Current,361759,T0123,2024-04-06,Deposit,132236,,L0123,,,732
C124,Alisha Long,M,36,Pune,96484466,Current,378534,T0124,2024-10-05,Deposit,33625,,L0124,327243.0,253504.0,716
C125,Victoria Fisher,F,34,Ahmedabad,23232846,Current,316369,T0125,2025-10-30,Transfer,119013,46288382.0,,831389.0,130550.0,848
C126,Benjamin Olson,F,60,Kolkata,66537027,Current,419149,T0126,2024-05-30,Withdrawal,35563,84640463.0,L0126,723372.0,672338.0,649
C127,Lynn Rhodes,F,49,Ahmedabad,40463470,Savings,277359,T0127,2024-08-27,Deposit,42860,,L0127,,,683
C128,Larry Logan,M,37,Pune,13198663,Current,38284,T0128,2024-07-20,Transfer,59422,67495230.0,,211617.0,198680.0,724
C129,Hailey Smith,M,51,Mumbai,65008256,Current,473379,T0129,2024-08-12,Transfer,28841,,,,,712
C130,Matthew Harris,F,59,Mumbai,97643274,Savings,388803,T0130,2024-12-17,Withdrawal,196001,29644738.0,L0130,,,690
C131,Jessica Cox,M,52,Ahmedabad,68609655,Current,478375,T0131,2024-10-01,Deposit,69859,14002553.0,L0131,175911.0,88209.0,687
C132,Lauren Nelson,M,59,Hyderabad,71432648,Current,420621,T0132,2025-05-05,Deposit,172224,94250456.0,,,,659
C133,Darius Mullen,M,27,Delhi,99598389,Savings,233663,T0133,2025-07-05,Transfer,61184,,,,,833
C134,Shannon Garcia,F,41,Mumbai,75536007,Savings,294808,T0134,2025-06-16,Transfer,79463,43740953.0,L0134,931093.0,271364.0,748
C135,Rebecca Martinez,M,31,Mumbai,77546774,Savings,455755,T0135,2024-09-24,Withdrawal,33771,12784693.0,,614519.0,577313.0,758
C136,Mr. Ronald Gentry,M,41,Pune,58481452,Current,445860,T0136,2025-04-15,Withdrawal,55105,,L0136,,,723
C137,Lori Carter,M,45,Bengaluru,97827285,Current,194910,T0137,2024-12-22,Withdrawal,144541,34622098.0,,937016.0,133230.0,846
C138,Amanda Irwin,M,44,Chennai,55261424,Current,272821,T0138,2024-08-06,Transfer,107018,91004342.0,L0138,,,782
C139,Jason Hopkins,F,44,Kolkata,28638076,Savings,473689,T0139,2025-04-21,Withdrawal,168771,10749712.0,L0139,,,731
C140,Elizabeth Alexander,M,33,Pune,93755018,Current,281767,T0140,2024-03-18,Withdrawal,6673,51173523.0,L0140,,,736
C141,Brenda Haynes,F,26,Pune,47766006,Savings,407394,T0141,2024-12-21,Withdrawal,101997,,,543968.0,234709.0,728
C142,Stephanie Washington DDS,F,39,Delhi,82581172,Current,186014,T0142,2025-02-26,Deposit,116818,,L0142,749543.0,287770.0,841
C143,Matthew Yang,M,29,Hyderabad,98530163,Current,492391,T0143,2025-02-08,Deposit,37819,63383640.0,L0143,,,708
C144,Michael Rice,M,32,Mumbai,68695996,Current,138521,T0144,2025-08-11,Deposit,177582,63198761.0,,607165.0,72422.0,655
C145,Luis Harris,F,30,Hyderabad,95846075,Current,270914,T0145,2025-10-19,Withdrawal,157336,59474530.0,L0145,,,685
C146,Diamond Murphy,F,65,Pune,83563213,Savings,367695,T0146,2024-08-30,Withdrawal,186533,29843855.0,L0146,172524.0,92262.0,680
C147,Jackson Diaz,M,22,Delhi,79368047,Current,149630,T0147,2024-04-29,Withdrawal,123880,,,742951.0,324643.0,798
C148,Vanessa Newman,F,36,Mumbai,46263809,Savings,392788,T0148,2025-01-18,Withdrawal,159847,,,338569.0,26763.0,686
C149,Kelly Pham,F,39,Kolkata,56366325,Current,468935,T0149,2024-09-17,Deposit,55520,62861786.0,,,,694
C150,Christopher Powell,M,41,Pune,37752604,Savings,301698,T0150,2025-03-14,Transfer,63856,36348034.0,,157522.0,29746.0,631
C151,Crystal Hayden,F,44,Pune,22741044,Savings,43009,T0151,2025-10-27,Deposit,159995,46558925.0,,554680.0,397204.0,723
C152,Robert Harris,M,34,Kolkata,33618565,Current,171157,T0152,2024-03-20,Transfer,154762,,,644798.0,67327.0,781
C153,Brian Cross,F,23,Bengaluru,53598011,Current,308716,T0153,2024-11-14,Withdrawal,193035,,L0153,,,784
C154,Nancy Carpenter,M,29,Ahmedabad,23297258,Current,335366,T0154,2024-10-25,Deposit,157319,72694581.0,L0154,981389.0,884375.0,757
C155,Tyler Buchanan,M,44,Hyderabad,16161226,Savings,180878,T0155,2024-06-24,Withdrawal,190163,,L0155,,,663
C156,Christine Cabrera,F,42,Mumbai,34145355,Current,442375,T0156,2024-03-22,Deposit,183683,,,,,813
C157,Natalie Zamora,F,63,Ahmedabad,87002121,Savings,389559,T0157,2025-02-14,Withdrawal,90576,,,,,654
C158,Lawrence Vargas,F,41,Delhi,82400457,Savings,61389,T0158,2025-02-22,Transfer,8018,73948562.0,,336557.0,155536.0,766
C159,Daniel Reynolds,F,43,Pune,75204704,Savings,200733,T0159,2024-09-16,Withdrawal,7227,,,,,613
C160,Krystal Johnson,F,43,Kolkata,62211258,Current,287529,T0160,2024-03-18,Deposit,2904,97024662.0,L0160,245290.0,157021.0,675
C161,Brandon Griffin,F,50,Hyderabad,13008529,Current,389320,T0161,2024-05-21,Transfer,199125,15615964.0,L0161,417366.0,283659.0,767
C162,Jeremy Rivas,F,58,Hyderabad,95360374,Savings,499613,T0162,2025-01-02,Deposit,91874,67019955.0,L0162,,,813
C163,Chelsea Henry,M,22,Chennai,28950103,Savings,436410,T0163,2024-09-07,Withdrawal,92802,,L0163,,,721
C164,Antonio Collier,M,53,Chennai,20051961,Current,466159,T0164,2024-01-10,Transfer,189094,76905131.0,L0164,848865.0,822757.0,664
C165,Anthony Garcia,F,49,Pune,61097459,Current,65258,T0165,2024-07-29,Deposit,188905,12484309.0,L0165,835894.0,129774.0,679
C166,Jon Mcdaniel,F,63,Chennai,42536505,Savings,358195,T0166,2025-05-13,Deposit,32003,,L0166,,,636
C167,Ann Black,M,44,Ahmedabad,88893648,Savings,438161,T0167,2024-02-12,Withdrawal,115300,,L0167,,,806
C168,Joel Chavez,M,53,Mumbai,18110258,Current,3770,T0168,2024-08-06,Withdrawal,18895,,L0168,,,758
C169,Brittany Peterson DDS,F,52,Mumbai,60306244,Savings,117866,T0169,2025-09-19,Deposit,58152,,L0169,,,821
C170,Leslie Hopkins,M,41,Kolkata,74565568,Current,35920,T0170,2025-02-05,Deposit,40837,,,,,747
C171,Kim Martinez,M,29,Mumbai,51019141,Current,263161,T0171,2025-09-11,Deposit,96974,,,,,847
C172,Cynthia Simpson,F,30,Kolkata,27500264,Current,405553,T0172,2024-03-18,Transfer,94640,,L0172,,,694
C173,Jennifer Greene,F,60,Chennai,15795314,Savings,181660,T0173,2025-01-14,Transfer,192197,33035704.0,L0173,191369.0,141569.0,772
C174,Michael Boyd,F,28,Chennai,97735294,Savings,487184,T0174,2025-07-14,Withdrawal,72238,,L0174,590390.0,160350.0,744
C175,Jacob Cooper,M,62,Bengaluru,65671959,Current,166335,T0175,2024-01-23,Withdrawal,117084,33042389.0,L0175,260554.0,102440.0,844
C176,Tracy Knight,M,64,Kolkata,55830614,Current,242493,T0176,2024-10-25,Transfer,108185,59789068.0,,,,623
C177,Lisa Becker,M,22,Chennai,82150819,Savings,458810,T0177,2024-08-11,Transfer,17002,,,,,806
C178,Michael Lopez,F,56,Hyderabad,97713655,Current,482148,T0178,2024-01-04,Transfer,122790,,L0178,,,831
C179,Stephanie Smith,M,54,Mumbai,49507344,Current,333447,T0179,2024-09-25,Withdrawal,111542,,L0179,914567.0,248584.0,719
C180,Tammy Cabrera,F,57,Bengaluru,57209180,Current,470167,T0180,2024-11-27,Withdrawal,128345,44812542.0,,,,639
C181,Paul Miller,M,47,Bengaluru,79354081,Current,141016,T0181,2024-08-06,Deposit,117035,,,398194.0,182317.0,753
C182,Christopher Hudson,M,24,Hyderabad,15115460,Savings,304116,T0182,2025-06-03,Deposit,41940,,,,,690
C183,Rachel Mcdonald,F,42,Ahmedabad,61019677,Current,348471,T0183,2025-03-25,Transfer,95883,90060638.0,,589122.0,175801.0,849
C184,Christopher Sanchez,F,28,Ahmedabad,65950433,Current,435411,T0184,2024-02-27,Withdrawal,8135,48916468.0,,,,667
C185,Holly Marquez,M,62,Delhi,86049682,Savings,279566,T0185,2024-11-13,Withdrawal,76360,,,,,721
C186,Mary Hughes,M,50,Kolkata,17496431,Savings,142720,T0186,2025-07-12,Transfer,1744,25042263.0,,937708.0,566041.0,827
C187,Mr. Jake Callahan,F,47,Pune,55892055,Current,204629,T0187,2024-03-29,Withdrawal,74441,97666747.0,L0187,236226.0,156918.0,764
C188,Miranda Clark,F,61,Hyderabad,57627958,Current,156589,T0188,2025-02-11,Deposit,123646,,L0188,,,831
C189,Kendra Ferguson,F,35,Ahmedabad,11710954,Savings,480741,T0189,2025-09-14,Withdrawal,85597,,,,,728
C190,Timothy Young,F,29,Mumbai,32141647,Current,407512,T0190,2024-04-09,Deposit,8210,,,652301.0,501164.0,821
C191,Daniel Hudson,F,34,Delhi,89998871,Current,340102,T0191,2025-05-09,Withdrawal,5444,82210386.0,,,,668
C192,Gabrielle Gonzalez,F,62,Hyderabad,52431049,Current,287834,T0192,2025-09-29,Transfer,193612,62811845.0,L0192,,,773
C193,James Lewis,F,61,Chennai,21534683,Current,87911,T0193,2025-10-23,Deposit,163924,,L0193,,,798
C194,Felicia Davis,M,65,Pune,82733094,Savings,224725,T0194,2024-11-23,Withdrawal,119825,16287326.0,,786682.0,80663.0,761
C195,Richard Johnson,M,64,Pune,40529316,Current,98977,T0195,2024-12-30,Deposit,7124,,,,,729
C196,Tiffany Ward,M,55,Ahmedabad,12270539,Current,250731,T0196,2024-09-04,Deposit,80907,,L0196,249849.0,78573.0,665
C197,Alexander Huang,M,38,Pune,52185205,Savings,93001,T0197,2024-02-25,Deposit,195304,,,,,813
C198,Edward Thomas,F,59,Delhi,16891168,Current,119048,T0198,2024-06-22,Withdrawal,100357,,,,,847
C199,Robert Nelson,M,38,Chennai,48003673,Savings,150323,T0199,2025-03-01,Transfer,8205,99370466.0,,,,632
C200,Amanda Rodriguez,M,30,Ahmedabad,63025535,Savings,22615,T0200,2025-10-09,Transfer,43900,14145255.0,L0200,405712.0,263000.0,708
C201,Troy Taylor,M,23,Kolkata,28611657,Current,491879,T0201,2024-03-22,Deposit,3670,94060187.0,L0201,777626.0,727482.0,663
C202,Scott Blake Jr.,M,40,Mumbai,69310094,Savings,393816,T0202,2024-11-23,Withdrawal,156836,,L0202,605567.0,162442.0,799
C203,Erica Perez,F,64,Kolkata,48664839,Current,330154,T0203,2024-01-26,Deposit,158397,23156335.0,L0203,,,819
C204,Shawn Norton,M,55,Mumbai,81487740,Savings,346874,T0204,2025-05-25,Withdrawal,98031,,,,,764
C205,Steven Zimmerman,F,47,Chennai,96265630,Current,244008,T0205,2024-03-30,Deposit,22043,,L0205,,,773
C206,Colleen Harris,M,34,Bengaluru,30540050,Current,47279,T0206,2025-08-01,Deposit,178886,,L0206,120693.0,101289.0,619
C207,Richard Mccall,M,39,Pune,95893928,Savings,292287,T0207,2025-06-17,Withdrawal,61405,20477013.0,,,,613
C208,Stephen Jordan,F,54,Delhi,36020445,Current,172281,T0208,2025-06-05,Withdrawal,62922,,L0208,502252.0,73939.0,812
C209,Eric Rich,F,43,Kolkata,47243882,Savings,353851,T0209,2025-07-22,Transfer,132770,27348620.0,,606577.0,605497.0,665
C210,Phillip Middleton,F,65,Pune,79148525,Savings,138679,T0210,2025-06-20,Withdrawal,124005,,L0210,872572.0,221668.0,722
C211,Donna Owens,F,53,Mumbai,66711076,Current,148902,T0211,2024-02-24,Deposit,11066,36847799.0,,818649.0,489291.0,716
